iter	Passed	Remaining
0	34	34066
1	55	27686
2	77	25763
3	97	24167
4	115	22999
5	133	22053
6	152	21667
7	171	21282
8	190	20923
9	208	20596
10	227	20482
11	246	20306
12	266	20228
13	286	20160
14	304	19985
15	323	19903
16	343	19862
17	360	19673
18	380	19642
19	398	19537
20	417	19479
21	435	19371
22	454	19295
23	473	19261
24	491	19162
25	510	19109
26	529	19082
27	549	19091
28	568	19037
29	589	19052
30	606	18971
31	624	18896
32	643	18867
33	661	18808
34	681	18786
35	700	18745
36	718	18702
37	737	18660
38	755	18616
39	773	18575
40	791	18508
41	811	18511
42	829	18470
43	849	18448
44	867	18402
45	886	18393
46	906	18386
47	926	18376
48	945	18348
49	963	18302
50	982	18283
51	1001	18261
52	1022	18266
53	1042	18263
54	1061	18230
55	1080	18219
56	1099	18188
57	1119	18176
58	1139	18175
59	1158	18145
60	1177	18123
61	1195	18079
62	1214	18068
63	1236	18079
64	1256	18078
65	1278	18090
66	1297	18064
67	1318	18072
68	1339	18077
69	1358	18047
70	1377	18023
71	1395	17987
72	1414	17961
73	1435	17965
74	1452	17918
75	1472	17898
76	1491	17878
77	1512	17878
78	1532	17871
79	1551	17839
80	1571	17824
81	1589	17795
82	1609	17779
83	1629	17765
84	1649	17757
85	1669	17746
86	1688	17715
87	1708	17709
88	1728	17689
89	1748	17681
90	1768	17664
91	1786	17632
92	1805	17610
93	1826	17602
94	1845	17578
95	1865	17567
96	1885	17550
97	1916	17636
98	1936	17621
99	1954	17594
100	1974	17578
101	1995	17571
102	2018	17579
103	2038	17564
104	2059	17554
105	2079	17540
106	2100	17529
107	2121	17523
108	2142	17514
109	2163	17503
110	2183	17488
111	2204	17479
112	2225	17469
113	2246	17463
114	2268	17454
115	2288	17440
116	2308	17420
117	2330	17416
118	2350	17398
119	2371	17388
120	2391	17374
121	2412	17365
122	2433	17351
123	2455	17346
124	2477	17339
125	2499	17337
126	2519	17322
127	2540	17307
128	2562	17299
129	2581	17277
130	2603	17270
131	2625	17264
132	2646	17249
133	2667	17236
134	2686	17216
135	2708	17206
136	2729	17193
137	2750	17182
138	2771	17167
139	2792	17151
140	2813	17138
141	2834	17124
142	2856	17121
143	2878	17109
144	2900	17100
145	2921	17091
146	2943	17078
147	2965	17069
148	2985	17053
149	3007	17041
150	3028	17025
151	3049	17011
152	3070	16995
153	3091	16981
154	3112	16967
155	3133	16955
156	3155	16942
157	3174	16917
158	3196	16907
159	3219	16901
160	3240	16887
161	3260	16867
162	3281	16851
163	3302	16834
164	3324	16823
165	3346	16811
166	3366	16790
